Player,Cl,Ht,Pos,G,BLKS,BKPG,AST,FGM,3FG,FT,PTS,PPG,FTA,FT%,ORebs,DRebs,REB,ST,3PG,STPG,3FGA,RPG,MP,FGA,Trpl Dbl,FG%,3FG%,MPG,APG,Dbl Dbl,TO,Ratio,Division
"Jamarion Sharp, Western Ky. (C-USA)",Jr.,89,C,32,148.0,4.62,,,,,,,,,69.0,173.0,242.0,,,,,5.41,,,1.0,,,,,4.0,,,C-USA
"Walker Kessler, Auburn (SEC)",So.,85,F,34,155.0,4.56,,,,,,,,,89.0,185.0,274.0,,,,,5.44,,,2.0,,,,,12.0,,,SEC
"Johni Broome, Morehead St. (OVC)",Fr.,82,F,34,131.0,3.85,,244.0,0.0,84.0,572.0,16.8,,,112.0,246.0,358.0,,,,,7.24,,440.0,,55.5,,,,23.0,,,OVC
"Chet Holmgren, Gonzaga (WCC)",Fr.,84,C,32,117.0,3.66,,170.0,41.0,71.0,452.0,14.1,,,57.0,260.0,317.0,,,,,8.12,,,,60.7,,,,13.0,,,WCC
"Ike Obiagu, Seton Hall (Big East)",Sr.,86,C,29,93.0,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,Big East
"Drew Pember, UNC Asheville (Big South)",Jr.,82,F,31,93.0,3.0,,157.0,36.0,138.0,488.0,15.7,160.0,86.2,56.0,149.0,205.0,,,,,4.81,,,,49.5,,,,4.0,,,Big South
"Hall Elisias, Bryant (NEC)",Sr.,79,F,25,75.0,3.0,,,,,,,83.0,77.1,,,,,,,,,,,,,,,,,,,NEC
"Osun Osunniyi, St. Bonaventure (Atlantic 10)",Sr.,82,C,32,94.0,2.94,,,,,,,,,87.0,154.0,241.0,,,,,4.81,,,,,,,,6.0,,,Atlantic 10
"Jayveous McKinnis, Jackson St. (SWAC)",Sr.,79,F,27,79.0,2.93,,,,,,,,,89.0,186.0,275.0,,,,,6.89,,,,56.6,,,,15.0,,,SWAC
"Kevin Samuel, FGCU (ASUN)",Sr.,83,C,33,96.0,2.91,,,,,,,,,103.0,216.0,319.0,,,,,6.55,,,,64.4,,,,15.0,,,ASUN
"KC Ndefo, Saint Peter's (MAAC)",Sr.,78,F,34,96.0,2.82,,,,,,,,,46.0,162.0,208.0,43.0,,,,4.76,,,,,,,,4.0,,,MAAC
"Mark Williams, Duke (ACC)",So.,84,C,39,110.0,2.82,,,,,,,,,102.0,188.0,290.0,,,,,4.82,,,,,,,,10.0,,,ACC
"Clifton Moore, La Salle (Atlantic 10)",Sr.,82,F,30,83.0,2.77,,,,,,,112.0,72.3,,,,,,,,,,,,,,,,5.0,,,Atlantic 10
"Christian Koloko, Arizona (Pac-12)",Jr.,85,C,37,102.0,2.76,,,,,,,136.0,73.5,95.0,175.0,270.0,,,,,4.73,,,,,,,,10.0,,,Pac-12
"Dajour Dickens, Hampton (Big South)",Sr.,84,F,26,69.0,2.65,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,Big South
"Obinna Anochili-Killen, Marshall (C-USA)",So.,80,F,33,87.0,2.64,,,,,,,,,61.0,156.0,217.0,,,,,4.73,,,,,,,,4.0,,,C-USA
"Ryan Kalkbrenner, Creighton (Big East)",So.,85,C,34,89.0,2.62,,,,,,,129.0,73.6,134.0,127.0,261.0,,,,,,,,,64.6,,,,6.0,,,Big East
"E.J. Liddell, Ohio St. (Big Ten)",Jr.,78,F,32,83.0,2.59,,203.0,46.0,169.0,621.0,19.4,221.0,76.5,72.0,182.0,254.0,,,,,5.69,1060.9666666666667,414.0,,49.0,,33.15,,9.0,,,Big Ten
"Terrell Brown, San Diego (WCC)",Sr.,82,C,25,64.0,2.56,,,,,,,,,,,,,,,,4.64,,,,,,,,5.0,,,WCC
"Kaodirichi Akobundu-Ehiogu, UT Arlington (Sun Belt)",So.,81,F,29,74.0,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,Sun Belt
"Kur Kuath, Marquette (Big East)",Sr.,82,F,32,81.0,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,Big East
"Jalyn Hinton, Southeastern La. (Southland)",Jr.,78,F,33,81.0,2.45,,167.0,0.0,123.0,457.0,13.8,161.0,76.4,78.0,187.0,265.0,,,,,5.67,1058.2666666666667,,,64.0,,,,8.0,,,Southland
"Austin Johnson, UC Irvine (Big West)",Jr.,81,F,25,61.0,2.44,,,,,,,,,,,,,,,,4.36,,,,,,,,,,,Big West
"Stephen Clark, The Citadel (SoCon)",Jr.,81,F,31,75.0,2.42,112.0,,,,,,,,41.0,147.0,188.0,,,,,4.74,,,,,,,3.6,3.0,72.0,1.56,SoCon
"Makhel Mitchell, Rhode Island (Atlantic 10)",So.,82,F,31,74.0,2.39,,,,,,,,,,,,,,,,4.48,,,,,,,,,,,Atlantic 10
"Max Brooks, UMass Lowell (America East)",So.,79,F,29,68.0,2.34,,,,,,,,,,,,,,,,4.38,,,,,,,,5.0,,,America East
"DaRon Holmes II, Dayton (Atlantic 10)",Fr.,82,F,35,81.0,2.31,,,,,,,,,53.0,159.0,212.0,,,,,4.54,1073.1666666666667,,,64.9,,,,4.0,,,Atlantic 10
