Team,Conference,GM,W-L,W,L,APG,BLKS,Fouls,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,FT,FTA,FT%,PFPG,DQ,OPP REB,REB MAR,OPP PTS,SCR MAR,PTS,PPG,ST,Opp 3FGA,Opp 3FG,3FG,3FGA,3FG%,AST,ORebs,DRebs,REB,Opp TO,TO
A&M-Corpus Christi (Southland),Southland,35,23-12,23,12,15.1,62,711,943,"2,130",44.3,809,"1,942",41.7,572,776,73.7,20.3,13,"1,188",4.4,"2,454",6.5,"2,682",76.6,298,842,262,224,666,33.6,528,447,894,"1,341",578,492
Abilene Christian (WAC),WAC,36,25-11,25,11,14.9,67,800,946,"2,159",43.8,782,"1,782",43.9,622,825,75.4,22.2,16,"1,241",-2.4,"2,432",9.1,"2,761",76.7,391,721,242,247,773,32,538,378,777,"1,155",755,453
Air Force (Mountain West),Mountain West,29,11-18,11,18,12.5,88,523,627,"1,437",43.6,669,"1,445",46.3,250,385,64.9,18,11,956,-6.4,"1,915",-7,"1,712",59,158,481,150,208,625,33.3,362,172,598,770,373,395
Akron (MAC),MAC,34,24-10,24,10,11.7,111,536,827,"1,799",46,783,"1,857",42.2,483,701,68.9,15.8,9,"1,053",4,"2,130",8,"2,402",70.6,199,656,225,265,748,35.4,397,334,854,"1,188",400,389
Alabama (SEC),SEC,33,19-14,19,14,14.7,155,609,911,"2,073",43.9,887,"2,028",43.7,496,681,72.8,18.5,13,"1,190",3.5,"2,523",3,"2,623",79.5,233,725,245,305,987,30.9,484,443,864,"1,307",435,480
Alabama A&M (SWAC),SWAC,30,12-18,12,18,9.5,96,483,656,"1,733",37.9,718,"1,791",40.1,414,581,71.3,16.1,9,"1,187",-1.8,"2,010",-5.6,"1,843",61.4,212,697,223,117,431,27.1,285,334,800,"1,134",410,407
Alabama St. (SWAC),SWAC,31,10-21,10,21,12,111,560,751,"1,762",42.6,822,"1,863",44.1,465,666,69.8,18.1,11,"1,145",-2.5,"2,332",-5.5,"2,160",69.7,234,703,231,193,581,33.2,373,327,741,"1,068",441,479
Alcorn (SWAC),SWAC,34,17-17,17,17,10.4,92,604,817,"1,983",41.2,844,"1,887",44.7,445,643,69.2,17.8,6,"1,174",1.5,"2,417",-4.6,"2,262",66.5,253,676,232,183,579,31.6,352,405,821,"1,226",450,479
American (Patriot),Patriot,32,10-22,10,22,12.2,98,477,781,"1,737",45,849,"1,794",47.3,308,444,69.4,14.9,7,"1,063",-2.5,"2,270",-7.5,"2,031",63.5,209,614,213,161,487,33.1,390,256,728,984,368,429
App State (Sun Belt),Sun Belt,34,19-15,19,15,12.6,85,437,822,"1,966",41.8,806,"1,924",41.9,354,537,65.9,12.9,3,"1,179",0.6,"2,146",4,"2,281",67.1,191,734,227,283,846,33.5,427,335,864,"1,199",407,350
Arizona (Pac-12),Pac-12,37,33-4,33,4,19.6,210,619,"1,117","2,269",49.2,928,"2,400",38.7,586,793,73.9,16.7,5,"1,249",7.6,"2,518",15.9,"3,107",84,249,833,273,287,815,35.2,726,429,"1,102","1,531",472,497
Arizona St. (Pac-12),Pac-12,31,14-17,14,17,13.4,131,562,775,"1,873",41.4,718,"1,797",40,263,398,66.1,18.1,11,"1,234",-4.3,"2,084",-1.8,"2,027",65.4,207,737,229,214,697,30.7,414,292,810,"1,102",419,370
Ark.-Pine Bluff (SWAC),SWAC,31,7-24,7,24,11.5,80,540,708,"1,733",40.9,894,"1,807",49.5,427,597,71.5,17.4,15,"1,180",-8.5,"2,426",-12,"2,055",66.3,222,558,201,212,706,30,355,276,642,918,414,414
Arkansas (SEC),SEC,37,28-9,28,9,13.8,153,624,972,"2,241",43.4,880,"2,135",41.2,633,833,76,16.9,12,"1,291",2.9,"2,527",7.6,"2,810",75.9,281,828,269,233,767,30.4,512,400,999,"1,399",549,453
Arkansas St. (Sun Belt),Sun Belt,29,18-11,18,11,15.6,97,482,745,"1,653",45.1,722,"1,685",42.8,408,548,74.5,16.6,8,983,2.1,"1,974",2.8,"2,055",70.9,229,559,184,157,505,31.1,452,294,750,"1,044",400,403
